Survived,Pclass,Age,SibSp,Parch,Ticket,Fare,Cabin,Sex_male,Embarked_Q,Embarked_S
0,3,22.0,0.6931471805599453,0.0,523,2.1102132003465894,47,1,0,1
1,1,38.0,0.6931471805599453,0.0,596,4.2805931204649,81,0,0,0
1,3,26.0,0.0,0.0,669,2.188856327665703,47,0,0,1
1,1,35.0,0.6931471805599453,0.0,49,3.9908341858524357,55,0,0,1
0,3,35.0,0.0,0.0,472,2.2027647577118348,47,1,0,1
0,3,29.44047619047619,0.0,0.0,275,2.246892662898172,47,1,1,0
0,1,54.0,0.0,0.0,85,3.967694202798607,129,1,0,1
0,3,4.0,1.3862943611198906,0.6931471805599453,395,3.0944457464900235,47,1,0,1
1,3,27.0,0.0,1.0986122886681098,344,2.495953738718064,47,0,0,1
1,2,14.0,0.6931471805599453,0.0,132,3.436268471383741,47,0,0,0
1,3,4.0,0.6931471805599453,0.6931471805599453,616,2.8735646395797834,145,0,0,1
1,1,56.0,0.0,0.0,38,3.3160025355989236,49,0,0,1
0,3,20.0,0.0,0.0,535,2.2027647577118348,47,1,0,1
0,3,39.0,0.6931471805599453,1.0986122886681098,333,3.4742929367327062,47,1,0,1
0,3,14.0,0.0,0.0,413,2.180891922715322,47,0,0,1
1,2,55.0,0.0,0.0,153,2.833213344056216,47,0,0,1
0,3,4.0,1.3862943611198906,0.6931471805599453,480,3.405355391810819,47,1,1,0
1,2,29.44047619047619,0.0,0.0,151,2.6390573296152584,47,1,0,1
0,3,31.0,0.6931471805599453,0.0,301,2.9444389791664403,47,0,0,1
1,3,29.44047619047619,0.0,0.0,184,2.1071782966514356,47,0,0,0
0,2,35.0,0.0,0.0,139,3.295836866004329,47,1,0,1
1,2,34.0,0.0,0.0,152,2.6390573296152584,111,1,0,1
1,3,15.0,0.0,0.0,278,2.2004637699272855,47,0,1,0
1,1,28.0,0.0,0.0,42,3.597312260588446,13,1,0,1
0,3,8.0,1.3862943611198906,0.6931471805599453,395,3.0944457464900235,47,0,0,1
1,3,38.0,0.6931471805599453,1.0986122886681098,329,3.4777725458882283,47,0,0,1
0,3,29.44047619047619,0.0,0.0,179,2.1071782966514356,47,1,0,0
0,1,19.0,1.3862943611198906,1.0986122886681098,95,4.728088015994874,63,1,0,1
1,3,29.44047619047619,0.0,0.0,283,2.1837114628556327,47,0,1,0
0,3,29.44047619047619,0.0,0.0,362,2.1855792552411137,47,1,0,1
0,1,40.0,0.0,0.0,598,3.357621598945279,47,1,0,0
